Date,Open,High,Low,Close,Volume,Report
2017-09-18,353.25,355.5,350.5,351.5,99550,0
2017-09-19,351,353.25,346.5,348.25,146095,0
2017-09-20,348,351.5,347.25,350,102116,0
2017-09-21,349.5,351.25,348.5,350.25,82977,0
2017-09-22,349.75,356.25,349.5,353.5,127979,0
2017-09-25,352.75,355,351.25,353.75,97453,0
2017-09-26,352.75,355.5,351.5,352.25,155862,0
2017-09-27,352,354.5,348.5,354,172892,0
2017-09-28,353.25,353.75,350.5,352.5,118768,0
2017-09-29,352.25,358,350,355.25,224611,0
2017-10-02,354.75,356.25,351,351.5,171081,0
2017-10-03,351.5,351.5,348.75,349.5,174928,0
2017-10-04,349.25,349.5,346,348.25,159849,0
2017-10-05,348.25,351.25,347.5,349.5,104644,0
2017-10-06,349.25,351,348.5,350,129778,0
2017-10-09,350.5,351.75,348,349.5,99967,0
2017-10-10,349,351.25,348.25,349.25,99239,0
2017-10-11,348.75,349,345.5,346,147560,0
2017-10-12,346,354,342.5,349,320529,1
2017-10-13,348.5,353.5,348.25,352.75,142469,0
2017-10-16,352.75,353.25,349.75,350.5,128826,0
2017-10-17,350.25,351.75,348.5,350,123109,0
2017-10-18,350.25,350.5,347.75,348.5,118864,0
2017-10-19,348.75,351.5,348.5,349,117908,0
2017-10-20,349,350,344.25,344.5,179875,0
2017-10-23,344.25,351.75,343,351.25,238837,0
2017-10-24,351,353,349.5,352.75,199055,0
2017-10-25,352.5,355.25,350.5,351,185193,0
2017-10-26,350.75,352,349.5,350.5,134492,0
2017-10-27,350.25,350.25,347.5,348.75,146233,0
2017-10-30,348.5,349.75,347.25,348.75,104509,0
2017-10-31,348,348.75,345.5,345.75,157414,0
2017-11-01,345.75,349.25,345.25,348.25,198152,0
2017-11-02,347.75,352,347.5,350.5,148487,0
2017-11-03,350.25,351,347.5,348.25,188296,0
2017-11-06,348.5,350.25,347.75,348,188696,0
2017-11-07,347.75,348.25,346.25,347.75,259207,0
2017-11-08,347.5,349,345.75,348.25,189086,0
2017-11-09,347.5,349.75,340.75,341.5,445053,1
2017-11-10,341.75,344,341,343.5,320430,0
2017-11-13,343.5,344,341.5,342.25,256489,0
2017-11-14,342,342.25,337.25,337.5,202124,0
2017-11-15,337.25,339,337,338.25,201802,0
2017-11-16,338.25,339,336.25,336.5,168495,0
2017-11-17,336.5,343.5,336.5,343,337543,0
2017-11-20,342.5,345.25,341.5,345,268004,0
2017-11-21,344,345.75,342.75,345,230190,0
2017-11-22,344.25,347,344,345.25,162558,0
2017-11-24,344.25,345.75,339.75,342.25,138793,0
2017-11-27,342.5,342.5,338.5,338.75,247887,0
2017-11-28,339,339.5,335.75,336.25,163155,0
2017-11-29,335.75,340,335.5,339,221851,0
2017-11-30,339.25,343,337.5,341.75,25157,0
2017-12-01,341.75,345.25,341,344.75,10212,0
2017-12-04,344.75,346,338.75,339.5,9360,0
2017-12-05,339.75,343,338.5,339.75,7530,0
2017-12-06,339,341.5,337.75,339.25,5515,0
2017-12-07,339,340,337.5,338.75,2891,0
2017-12-08,338.5,341.25,338.5,340,1283,0
2017-12-11,340,340,336,336.5,1050,0
2017-12-12,336.5,340.75,335.25,335.75,850,1
2017-12-13,337.25,337.5,336.5,336.75,360,0
2017-12-14,337,338,336.75,336.25,151,0
2017-12-15,348.75,350.75,346.5,347.5,114431,0
2017-12-18,347.25,348.75,346.5,347,87115,0
2017-12-19,346.75,348.75,346.5,347.5,74033,0
2017-12-20,347.5,349.75,347.25,349.25,96803,0
2017-12-21,349,351.75,348.5,351.25,100066,0
2017-12-22,350.75,352.5,350.5,352,59841,0
2017-12-26,352,353.25,351,352.75,54881,0
2017-12-27,352,354.25,351.75,353.75,79243,0
2017-12-28,353,353.5,350,352,86123,0
2017-12-29,351.25,351.5,350.25,350.75,82605,0
2018-01-02,351.25,354,350.5,353.25,136756,0
2018-01-03,353,354.75,352.25,353,122048,0
2018-01-04,353,353.5,350.25,351,165368,0
2018-01-05,350.75,352.25,350.25,351.25,132909,0
2018-01-08,350.75,351.5,346.75,347.25,256181,0
2018-01-09,347.5,350,347.25,349,137800,0
2018-01-10,348.75,350,348,349,130251,0
2018-01-11,349,350.5,348,348.75,144829,0
2018-01-12,348.75,350,345.5,346.25,195191,1
2018-01-16,347.25,349.25,346,348.25,162141,0
2018-01-17,348.5,353.25,348.25,353,217224,0
2018-01-18,352.5,354,350.5,351.5,174921,0
2018-01-19,351.5,354,351.25,352.5,134421,0
2018-01-22,353.5,354.5,351.25,352,165392,0
2018-01-23,351.75,352,349.5,351.25,191553,0
2018-01-24,351.25,357,349.75,356.5,312216,0
2018-01-25,356,358,354.5,355.25,211460,0
2018-01-26,355,357,354.5,356.5,125362,0
2018-01-29,356.75,359.25,356.75,358.75,159668,0
2018-01-30,359.5,362.25,359,361.5,201240,0
2018-01-31,361.5,362,359.5,361.5,158486,0
2018-02-01,360.75,362,358.5,361.75,240810,0
2018-02-02,361,362.5,359.5,361.5,184286,0
2018-02-05,359.5,360.75,357.25,358.75,244763,0
2018-02-06,358.75,364,356.25,363.5,220538,0
